Fecha,Dólar
2/01/2008,497
3/01/2008,498
4/01/2008,497
7/01/2008,496
8/01/2008,496
9/01/2008,490
10/01/2008,487
11/01/2008,485
14/01/2008,480
15/01/2008,472
16/01/2008,472
17/01/2008,478
18/01/2008,476
21/01/2008,476
22/01/2008,483
23/01/2008,481
24/01/2008,479
25/01/2008,471
28/01/2008,468
29/01/2008,469
30/01/2008,464
31/01/2008,465
1/02/2008,465
4/02/2008,465
5/02/2008,467
6/02/2008,472
7/02/2008,474
8/02/2008,476
11/02/2008,474
12/02/2008,469
13/02/2008,466
14/02/2008,466
15/02/2008,464
18/02/2008,465
19/02/2008,463
20/02/2008,464
21/02/2008,469
22/02/2008,468
25/02/2008,467
26/02/2008,467
27/02/2008,467
28/02/2008,463
29/02/2008,458
3/03/2008,454
4/03/2008,455
5/03/2008,453
6/03/2008,449
7/03/2008,445
10/03/2008,444
11/03/2008,440
12/03/2008,435
13/03/2008,432
14/03/2008,433
17/03/2008,435
18/03/2008,439
19/03/2008,431
20/03/2008,436
24/03/2008,447
25/03/2008,452
26/03/2008,451
27/03/2008,446
28/03/2008,441
31/03/2008,439
1/04/2008,438
2/04/2008,438
3/04/2008,437
4/04/2008,440
7/04/2008,436
8/04/2008,434
9/04/2008,437
10/04/2008,435
11/04/2008,434
14/04/2008,449
15/04/2008,449
16/04/2008,454
17/04/2008,456
18/04/2008,457
21/04/2008,456
22/04/2008,456
23/04/2008,452
24/04/2008,445
25/04/2008,448
28/04/2008,454
29/04/2008,454
30/04/2008,459
2/05/2008,461
5/05/2008,465
6/05/2008,466
7/05/2008,468
8/05/2008,469
9/05/2008,471
12/05/2008,471
13/05/2008,468
14/05/2008,467
15/05/2008,469
16/05/2008,467
19/05/2008,465
20/05/2008,467
22/05/2008,471
23/05/2008,472
26/05/2008,472
27/05/2008,475
28/05/2008,479
29/05/2008,479
30/05/2008,480
2/06/2008,480
3/06/2008,483
4/06/2008,485
5/06/2008,490
6/06/2008,483
9/06/2008,483
10/06/2008,484
11/06/2008,485
12/06/2008,486
13/06/2008,497
16/06/2008,501
17/06/2008,500
18/06/2008,492
19/06/2008,491
20/06/2008,489
23/06/2008,494
24/06/2008,501
25/06/2008,505
26/06/2008,508
27/06/2008,512
30/06/2008,520
1/07/2008,526
2/07/2008,529
3/07/2008,517
4/07/2008,511
7/07/2008,511
8/07/2008,507
9/07/2008,506
10/07/2008,503
11/07/2008,503
14/07/2008,504
15/07/2008,498
17/07/2008,493
18/07/2008,489
21/07/2008,495
22/07/2008,495
23/07/2008,490
24/07/2008,495
25/07/2008,494
28/07/2008,492
29/07/2008,494
30/07/2008,494
31/07/2008,503
1/08/2008,507
4/08/2008,506
5/08/2008,511
6/08/2008,511
7/08/2008,513
8/08/2008,512
11/08/2008,517
12/08/2008,520
13/08/2008,520
14/08/2008,518
18/08/2008,515
19/08/2008,519
20/08/2008,523
21/08/2008,521
22/08/2008,520
25/08/2008,520
26/08/2008,521
27/08/2008,523
28/08/2008,520
29/08/2008,516
1/09/2008,513
2/09/2008,515
3/09/2008,516
4/09/2008,517
5/09/2008,516
8/09/2008,523
9/09/2008,524
10/09/2008,531
11/09/2008,531
12/09/2008,534
15/09/2008,528
16/09/2008,532
17/09/2008,541
22/09/2008,545
23/09/2008,532
24/09/2008,534
25/09/2008,540
26/09/2008,539
29/09/2008,540
30/09/2008,552
1/10/2008,551
2/10/2008,556
