Fuente,DIVISION,GRUPO,CLASE,SUBCLASE,PRODUCTO,variedad,Glosa_Producto,pm_enero2014,pm_Febrero2014,pm_Marzo2014,pm_Abril2014,pm_mayo2014,pm_Junio2014,pm_Julio2014,pm_Agosto2014,pm_Septiembre2014,pm_Octubre2014,pm_Noviembre2014,pm_Diciembre2014,pm_16_enero2014,Reemplaza_enero2014,pm_16_febrero2014,Reemplaza_febrero2014,pm_16_marzo2014,Reemplaza_marzo2014,pm_16_Abril2014,Reemplaza_Abril2014,pm_16_mayo2014,Reemplaza_mayo2014,pm_16_Junio2014,Reemplaza_Junio2014,pm_16_Julio2014,Reemplaza_Julio2014,pm_16_Agosto2014,Reemplaza_Agosto2014,pm_16_Septiembre2014,Reemplaza_Septiembre2014,pm_16_Octubre2014,Reemplaza_Octubre2014,pm_16_Noviembre2014,Reemplaza_Noviembre2014,pm_16_Diciembre2014,Reemplaza_Diciembre2014,Estado_lev_Enero2014,Estado_lev_Febrero2014,Estado_lev_marzo2014,Estado_lev_Abril2014,Estado_lev_Mayo2014,Estado_lev_Junio2014,Estado_lev_Julio2014,Estado_lev_Agosto2014,Estado_lev_Septiembre2014,Estado_lev_octubre2014,Estado_lev_Noviembre2014,Estado_lev_Diciembre2014,Cantidad_Ene2014,Unidad_Ene2014,Cantidad_Feb2014,Unidad_Feb2014,Cantidad_Mar2014,Unidad_Mar2014,Cantidad_Abr2014,Unidad_Abr2014,Cantidad_May2014,Unidad_May2014,Cantidad_Jun2014,Unidad_Jun2014,Cantidad_Jul2014,Unidad_Jul2014,Cantidad_Ago2014,Unidad_Ago2014,Cantidad_Sep2014,Unidad_Sep2014,Cantidad_Oct2014,Unidad_Oct2014,Cantidad_Nov2014,Unidad_Nov2014,Cantidad_Dic2014,Unidad_Dic2014,Oferta_11Ene2014,Oferta_11Feb2014,Oferta_11Mar2014,Oferta_11Abr2014,Oferta_11May2014,Oferta_11Jun2014,Oferta_11Jul2014,Oferta_11Ago2014,Oferta_11Sep2014,Oferta_11Oct2014,Oferta_11Nov2014,Oferta_11Dic2014
899,5,1,1,1,5,2,MUEBLES PARA LIVING,"1199990,00","1199990,00","0,00","0,00","849990,00","849990,00","849990,00","499990,00","0,00","1289990,00","1289990,00","619990,00","0,00",NO,"0,00",NO,"0,00",NO,"849990,00",Si,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"1289990,00",Si,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
6450,5,1,1,1,5,2,MUEBLES PARA LIVING,"998000,00","998000,00","998000,00","998000,00","898000,00","0,00","998000,00","998000,00","998000,00","998000,00","998000,00","998000,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"998000,00",Si,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
6470,5,3,1,1,6,4,REFRIGERADOR,"899990,00","953990,00","953990,00","953990,00","953990,00","0,00","953990,00","953990,00","953990,00","953990,00","953990,00","0,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
6491,5,3,1,1,6,4,REFRIGERADOR,"899990,00","953990,00","953990,00","953900,00","953990,00","953990,00","953990,00","953990,00","858591,00","953990,00","0,00","0,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"449990,00",Si,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
11360,5,1,1,1,5,2,MUEBLES PARA LIVING,"898000,00","898000,00","898000,00","898000,00","898000,00","898000,00","898000,00","898000,00","898000,00","898000,00","898000,00","898000,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
11030,5,1,1,1,5,6,MUEBLES PARA LIVING,"880000,00","880000,00","0,00","880000,00","880000,00","880000,00","880000,00","880000,00","880000,00","880000,00","880000,00","880000,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
1965,5,3,1,1,6,4,REFRIGERADOR,"699990,00","699990,00","699990,00","699990,00","0,00","699990,00","699990,00","699990,00","699990,00","699990,00","699990,00","699990,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
5329,5,3,1,1,6,4,REFRIGERADOR,"799990,00","0,00","799990,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
9484,5,1,1,1,5,2,MUEBLES PARA LIVING,"790000,00","0,00","790000,00","790000,00","890000,00","890000,00","0,00","990000,00","990000,00","990000,00","990000,00","1190000,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"990000,00",Si,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
11622,5,1,1,1,5,6,MUEBLES PARA LIVING,"730000,00","730000,00","730000,00","830000,00","830000,00","830000,00","868000,00","868000,00","930000,00","990000,00","990000,00","990000,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
