Fuente,DIVISION,GRUPO,CLASE,SUBCLASE,PRODUCTO,variedad,Glosa_Producto,pm_Enero2017,pm_Febrero2017,pm_Marzo2017,pm_Abril2017,pm_Mayo2017,pm_Junio2017,pm_Julio2017,pm_Agosto2017,pm_Septiembre2017,pm_Octubre2017,pm_Noviembre2017,pm_Diciembre2017,pm_16_Enero2017,Reemplaza_Enero2017,pm_16_Febrero2017,Reemplaza_Febrero2017,pm_16_Marzo2017,Reemplaza_Marzo2017,pm_16_Abril2017,Reemplaza_Abril2017,pm_16_Mayo2017,Reemplaza_Mayo2017,pm_16_Junio2017,Reemplaza_Junio2017,pm_16_Julio2017,Reemplaza_Julio2017,pm_16_Agosto2017,Reemplaza_Agosto2017,pm_16_Septiembre2017,Reemplaza_Septiembre2017,pm_16_Octubre2017,Reemplaza_Octubre2017,pm_16_Noviembre2017,Reemplaza_Noviembre2017,pm_16_Diciembre2017,Reemplaza_Diciembre2017,Estado_lev_Enero2017,Estado_lev_Febrero2017,Estado_lev_Marzo2017,Estado_lev_Abril2017,Estado_lev_Mayo2017,Estado_lev_Junio2017,Estado_lev_Julio2017,Estado_lev_Agosto2017,Estado_lev_Septiembre2017,Estado_lev_Octubre2017,Estado_lev_Noviembre2017,Estado_lev_Diciembre2017,Cantidad_Ene2017,Unidad_Ene2017,Cantidad_Feb2017,Unidad_Feb2017,Cantidad_Mar2017,Unidad_Mar2017,Cantidad_Abr2017,Unidad_Abr2017,Cantidad_May2017,Unidad_May2017,Cantidad_Jun2017,Unidad_Jun2017,Cantidad_Jul2017,Unidad_Jul2017,Cantidad_Ago2017,Unidad_Ago2017,Cantidad_Sep2017,Unidad_Sep2017,Cantidad_Oct2017,Unidad_Oct2017,Cantidad_Nov2017,Unidad_nov2017,Cantidad_Dic2017,Unidad_Dic2017,Oferta_11Ene2017,Oferta_11Feb2017,Oferta_11Mar2017,Oferta_11Abr2017,Oferta_11May2017,Oferta_11Jun2017,Oferta_11Jul2017,Oferta_11Ago2017,Oferta_11Sep2017,Oferta_11Oct2017,Oferta_11Nov2017,Oferta_11Dic2017
9484,5,1,1,1,5,2,MUEBLES PARA LIVING,"1190000,00","1190000,00","1190000,00","1190000,00","1190000,00","1190000,00","1190000,00","1190000,00","1190000,00","1190000,00","1190000,00","1190000,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
11360,5,1,1,1,5,2,MUEBLES PARA LIVING,"998000,00","998000,00","998000,00","998000,00","998000,00","998000,00","998000,00","998000,00","998000,00","998000,00","998000,00","998000,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
6450,5,1,1,1,5,2,MUEBLES PARA LIVING,"998000,00","998000,00","998000,00","998000,00","998000,00","998000,00","998000,00","998000,00","998000,00","998000,00","998000,00","998000,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
904,5,1,1,1,5,5,MUEBLES PARA LIVING,"989990,00","989990,00","349990,00","349990,00","349990,00","199990,00","199990,00","0,00","0,00","299990,00","299990,00","309990,00","0,00",NO,"349990,00",Si,"0,00",NO,"0,00",NO,"199990,00",Si,"0,00",NO,"0,00",NO,"0,00",NO,"299990,00",Si,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
5353,5,3,1,1,6,4,REFRIGERADOR,"849990,00","849990,00","0,00","0,00","499990,00","499990,00","599990,00","549990,00","499990,00","0,00","629990,00","459990,00","0,00",NO,"0,00",NO,"0,00",NO,"529990,00",Si,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"499990,00",Si,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,S/Est,1.0,S/Est,,,,,,,,,,,,
904,5,3,1,1,6,4,REFRIGERADOR,"849990,00","849990,00","869990,00","799990,00","0,00","799990,00","799990,00","849990,00","899990,00","849990,00","849990,00","849990,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
27486,5,1,1,1,5,2,MUEBLES PARA LIVING,"848000,00","848000,00","848000,00","848000,00","848000,00","898000,00","898000,00","898000,00","898000,00","898000,00","898000,00","898000,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
5343,5,3,1,1,6,4,REFRIGERADOR,"839990,00","849990,00","849990,00","849990,00","849990,00","849990,00","849990,00","849990,00","799990,00","849990,00","849990,00","849990,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
6450,5,1,1,1,5,6,MUEBLES PARA LIVING,"898000,00","898000,00","898000,00","898000,00","898000,00","898000,00","898000,00","898000,00","898000,00","898000,00","898000,00","898000,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
11360,5,1,1,1,5,6,MUEBLES PARA LIVING,"898000,00","898000,00","898000,00","898000,00","898000,00","898000,00","898000,00","898000,00","898000,00","898000,00","898000,00","898000,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
