Fuente,DIVISION,GRUPO,CLASE,SUBCLASE,PRODUCTO,variedad,Glosa_Producto,pm_Enero2016,pm_Febrero2016,pm_Marzo2016,pm_Abril2016,pm_Mayo2016,pm_Junio2016,pm_Julio2016,pm_Agosto2016,pm_Septiembre2016,pm_Octubre2016,pm_Noviembre2016,pm_Diciembre2016,pm_16_enero2016,Reemplaza_enero2016,pm_16_febrero2016,Reemplaza_febrero2016,pm_16_marzo2016,Reemplaza_marzo2016,pm_16_Abril2016,Reemplaza_Abril2016,pm_16_mayo2016,Reemplaza_mayo2016,pm_16_Junio2016,Reemplaza_Junio2016,pm_16_Julio2016,Reemplaza_Julio2016,pm_16_Agosto2016,Reemplaza_Agosto2016,pm_16_Septiembre2016,Reemplaza_Septiembre2016,pm_16_Octubre2016,Reemplaza_Octubre2016,pm_16_Noviembre2016,Reemplaza_Noviembre2016,pm_16_Diciembre2016,Reemplaza_Diciembre2016,Estado_lev_Enero2016,Estado_lev_Febrero2016,Estado_lev_marzo2016,Estado_lev_Abril2016,Estado_lev_Mayo2016,Estado_lev_Junio2016,Estado_lev_Julio2016,Estado_lev_Agosto2016,Estado_lev_Septiembre2016,Estado_lev_octubre2016,Estado_lev_Noviembre2016,Estado_lev_Diciembre2016,Cantidad_Ene2016,Unidad_Ene2016,Cantidad_Feb2016,Unidad_Feb2016,Cantidad_Mar2016,Unidad_Mar2016,Cantidad_Abr2016,Unidad_Abr2016,Cantidad_May2016,Unidad_May2016,Cantidad_Jun2016,Unidad_Jun2016,Cantidad_Jul2016,Unidad_Jul2016,Cantidad_Ago2016,Unidad_Ago2016,Cantidad_Sep2016,Unidad_Sep2016,Cantidad_Oct2016,Unidad_Oct2016,Cantidad_Nov2016,Unidad_Nov2016,Cantidad_Dic2016,Unidad_Dic2016,Oferta_11Ene2016,Oferta_11Feb2016,Oferta_11Mar2016,Oferta_11Abr2016,Oferta_11May2016,Oferta_11Jun2016,Oferta_11Jul2016,Oferta_11Ago2016,Oferta_11Sep2016,Oferta_11Oct2016,Oferta_11Nov2016,Oferta_11Dic2016
27094,4,4,3,1,2,1,PARAFINA,"591,50","574,00","579,80","588,50","606,30","639,00","606,50","549,30","582,60","597,50","602,30","618,30","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1000.0,L,1000.0,L,1000.0,CC,1000.0,CC,1000.0,CC,1000.0,CC,1000.0,CC,1000.0,CC,1000.0,CC,1000.0,CC,1000.0,CC,1000.0,CC,,,,,,,,,,,,
5930,4,4,3,1,2,1,PARAFINA,"591,50","598,80","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,0,0,0,0,0,0,0,0,0,1.0,L,1.0,L,1.0,LT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1387,4,4,3,1,2,1,PARAFINA,"591,00","584,30","582,00","558,80","589,80","624,30","621,00","0,00","0,00","0,00","0,00","0,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,0,0,0,1.0,L,1.0,L,1.0,LT,1.0,LT,1.0,LT,1.0,LT,1.0,LT,1.0,LT,1.0,LT,,,,,,,,,,,,,,,,,,
23825,11,1,1,1,2,2,ALMUERZO  Y CENAS CONSUMIDO FUERA DEL HOGAR,"590,00","590,00","590,00","590,00","590,00","590,00","590,00","590,00","590,00","590,00","590,00","590,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,1.0,UNI,,,,,,,,,,,,
8874,4,4,3,1,2,1,PARAFINA,"590,00","590,00","590,00","548,00","532,50","575,00","559,00","518,80","520,00","527,50","530,00","530,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,L,1.0,L,1.0,LT,1.0,LT,1.0,LT,1.0,LT,1.0,LT,1.0,LT,1.0,LT,1.0,LT,1.0,LT,1.0,LT,,,,,,,,,,,,
8853,4,4,3,1,2,1,PARAFINA,"590,00","0,00","0,00","527,00","554,30","584,80","566,20","529,00","562,00","569,00","583,00","583,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,L,1.0,L,1.0,LT,1.0,LT,1.0,LT,1.0,LT,1.0,LT,1.0,LT,1.0,LT,1.0,LT,1.0,LT,1.0,LT,,,,,,,,,,,,
5927,4,4,3,1,2,1,PARAFINA,"588,50","0,00","0,00","590,50","617,80","652,80","631,00","586,50","609,00","621,50","628,30","642,30","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,L,1.0,L,1.0,LT,1.0,LT,1.0,LT,1.0,LT,1.0,LT,1.0,LT,1.0,LT,1.0,LT,1.0,LT,1.0,LT,,,,,,,,,,,,
26594,4,4,3,1,2,1,PARAFINA,"586,30","573,80","583,30","572,00","610,70","635,30","609,80","545,50","567,20","586,80","578,80","609,80","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1000.0,L,1000.0,L,1000.0,CC,1000.0,CC,1000.0,CC,1000.0,CC,1000.0,CC,1000.0,CC,1000.0,CC,1000.0,CC,1000.0,CC,1000.0,CC,,,,,,,,,,,,
5889,4,4,3,1,2,1,PARAFINA,"583,00","583,00","583,00","574,00","587,00","610,00","585,00","544,00","560,00","560,00","560,00","560,00","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,L,1.0,L,1.0,LT,1.0,LT,1.0,LT,1.0,LT,1.0,LT,1.0,LT,1.0,LT,1.0,LT,1.0,LT,1.0,LT,,,,,,,,,,,,
1397,4,4,3,1,2,1,PARAFINA,"580,30","593,40","600,50","589,30","596,40","619,00","584,30","537,00","567,00","587,70","595,30","622,30","0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,"0,00",NO,1,1,1,1,1,1,1,1,1,1,1,1,1.0,L,1.0,L,1.0,LT,1.0,LT,1.0,LT,1.0,LT,1.0,LT,1.0,LT,1.0,LT,1.0,LT,1.0,LT,1.0,LT,,,,,,,,,,,,
