id_osm,lat,lon,nombre_estacion,accesibilidad,fecha_inauguracion
141096340,-33.4529746,-70.6585851,Toesca,yes,1978-03-31
227926453,-33.4696578,-70.6563736,Rondizzoni,,1978-03-31
252527589,-33.4134817,-70.5826796,Escuela Militar,,1980-08-31
252527592,-33.4154469,-70.5899906,Alcántara,no,1980-08-31
252527596,-33.4166189,-70.5957077,El Golf,,1980-08-31
252527597,-33.4182154,-70.6014872,Tobalaba,yes,1980-08-31
252527599,-33.425483,-70.6137959,Pedro de Valdivia,no,1980-08-31
252527600,-33.4285532,-70.6196465,Manuel Montt,yes,1980-08-31
252527603,-33.4397617,-70.6398924,Universidad Católica,yes,1977-03-31
252527604,-33.4424649,-70.6447442,Santa Lucía,no,1977-03-31
252528383,-33.447702,-70.6671366,República,,1975-09-15
252528387,-33.4493623,-70.673351,Unión Latinoamericana,no,1975-09-15
252528391,-33.4508228,-70.6789622,Estación Central,,1975-09-15
252981526,-33.4263163,-70.5909808,Cristóbal Colón,yes,2005-11-30
252981531,-33.4317928,-70.584703,Francisco Bilbao,,2005-11-30
252981541,-33.4392047,-70.5731497,Príncipe de Gales,,2005-11-30
252981546,-33.4461845,-70.5719261,Simón Bolívar,yes,2005-11-30
253281389,-33.4366322,-70.6441329,Bellas Artes,yes,2000-03-02
253281419,-33.4391444,-70.668534,Cumming,no,2004-03-31
253282351,-33.4528554,-70.6865552,Universidad de Santiago,,1975-09-15
253282358,-33.4542019,-70.6922721,San Alberto Hurtado,,1975-09-15
253282361,-33.4559226,-70.6997325,Ecuador,,1975-09-15
253282379,-33.4575386,-70.7067561,Las Rejas,,1975-09-15
253282383,-33.4574748,-70.7154469,Pajaritos,yes,1975-09-15
253294531,-33.4471204,-70.6304343,Santa Isabel,yes,1997-04-05
253295159,-33.5133028,-70.6059146,Mirador,,1997-04-05
253295163,-33.5079499,-70.6124467,Pedrero,limited,1997-04-05
253295175,-33.4917907,-70.6175195,Camino Agrícola,,1997-04-05
253295179,-33.4863985,-70.6191824,Carlos Valdovinos,yes,1997-04-05
253295184,-33.4778167,-70.6222636,Rodrigo de Araya,,1997-04-05
253360557,-33.4608472,-70.6568466,Parque O'Higgins,yes,1978-03-31
254343697,-33.440368,-70.6802912,Quinta Normal,yes,2004-03-31
256372838,-33.4626181,-70.5739242,Los Orientales,,2005-11-30
256372848,-33.4695344,-70.5765034,Grecia,,2005-11-30
256373484,-33.479837,-70.5786662,Los Presidentes,,2006-03-02
256374109,-33.4882637,-70.5804178,Quilín,,2006-03-02
256374120,-33.499108,-70.5865459,Las Torres,yes,2006-03-02
256374127,-33.5092379,-70.5900473,Macul,yes,2006-03-02
256377241,-33.5361069,-70.5926966,Rojas Magallanes,yes,2005-11-30
256377430,-33.5462943,-70.5881027,Trinidad,yes,2005-11-30
256377970,-33.5612253,-70.5852697,Los Quillayes,yes,2005-11-30
256378408,-33.5692937,-70.5838076,Elisa Correa,yes,2005-11-30
256378595,-33.5768981,-70.582317,Hospital Sótero del Río,yes,2005-11-30
256379524,-33.5895738,-70.579833,Protectora de la Infancia,,2005-11-30
256999811,-33.5195217,-70.6000253,Bellavista de La Florida,yes,1997-04-05
265684316,-33.4139806,-70.643597,Cementerios,,2005-11-25
265684322,-33.3909444,-70.6424385,Zapadores,,2006-12-21
267077543,-33.3969616,-70.6427404,Dorsal,,2006-12-21
267078399,-33.3807538,-70.6463404,Vespucio Norte,,2006-12-21
301699361,-33.4826014,-70.6493814,El Llano,,1978-12-21
301699379,-33.4887157,-70.6510725,San Miguel,,1978-12-21
301699645,-33.4968286,-70.6530148,Lo Vial,,1978-12-21
301699773,-33.5024398,-70.6546333,Departamental,no,1978-12-21
301699834,-33.5095432,-70.6566453,Ciudad del Niño,no,1978-12-21
301699842,-33.5172701,-70.6588205,Lo Ovalle,no,1978-12-21
301699913,-33.5264317,-70.6614044,El Parrón,yes,2004-12-22
301703081,-33.5311022,-70.6055361,Santa Julia,yes,2006-08-16
301703223,-33.5411298,-70.616047,La Granja,yes,2006-08-16
